title,imdbRating,imdbVotes,tomatometer
A Castle For Christmas,5.5,"12,223",74%
A Chaster Marriage,5.4,927,N/A
A Cut Above,N/A,169,N/A
A Futile and Stupid Gesture,6.7,"16,424",67%
A Guy and a Gal,5.6,431,N/A
A Home with A View,5.9,305,N/A
A liberal passion,5.2,594,N/A
A Madea Homecoming,5.6,"3,903",36%
A Man for the Weekend,N/A,14,N/A
A Man Wanted,N/A,N/A,N/A
A Month in Thailand,5.8,552,N/A
A Naija Christmas,4.9,354,N/A
A Natural Born Fool,N/A,N/A,N/A
A Perfect Fit,5.4,613,N/A
A Perfect Pairing,6.1,"12,187",50%
A Remarkable Tale,5.4,"1,282",N/A
A Romantic Comedy,N/A,N/A,N/A
A Stand Worthy of Men,7.2,"2,509",N/A
A Very Murray Christmas,5.5,"15,520",68%
A Zero Too Much,4.7,53,N/A
About a Girl,6.6,855,N/A
About Last Night,6.0,"24,195",69%
Abschussfahrt - Vier ist einer zu voll,N/A,N/A,N/A
Adam Devine: Best Time of Our Lives,5.9,965,N/A
ADAM SANDLER 100% FRESH,7.5,"5,330",90%
Adel Karam: Live from Beirut,5.3,152,N/A
Adios Amigos,6.6,680,N/A
Aditi Mittal: Things They Wouldn't Let Me Say,4.3,335,N/A
Adult Behaviour... It's All in the Mind,N/A,N/A,N/A
Afonso Padilha: Classless,6.8,213,N/A
Afterlife of the Party,5.8,"9,222",56%
Agent Ranjid Rettet Die Welt,3.2,638,N/A
Ahmed Notre Dame,N/A,N/A,N/A
AI Love You,4.4,609,N/A
Airplane Mode,2.6,"5,754",N/A
Aiyyaa,4.3,"1,905",N/A
Ajab Prem Ki Ghazab Kahani,6.3,"14,857",N/A
AK vs AK,6.9,"14,398",69%
Aki and Paw Paw,N/A,N/A,N/A
Alakada Reloaded,N/A,N/A,N/A
Alan Saldaña: Locked Up,N/A,29,N/A
Alex Fernández: The Best Comedian in the World,6.3,142,N/A
Alex Strangelove,6.3,"18,038",81%
Ali & Ratu Ratu Queens,N/A,N/A,N/A
Ali Wong: Baby Cobra,7.5,"7,153",100%
Ali Wong: Don Wong,6.6,"2,535",N/A
Ali Wong: Hard Knock Wife,7.3,"5,049",100%
Alice Junior,6.9,557,N/A
All About Gila,N/A,94,N/A
All Hail,5.6,"3,319",40%
All Mixed Up,N/A,N/A,N/A
1922,6.2,"63,784",91%
21,6.8,"252,061",36%
22 July,6.8,"34,260",80%
30. March,N/A,N/A,N/A
3096 Days,N/A,N/A,N/A
A Fall from Grace,5.8,"15,651",N/A
A Guest Is Coming,N/A,N/A,N/A
A Walk Among the Tombstones,6.5,"122,145",68%
Abducted in Plain Sight,6.8,"19,605",75%
Abgeschnitten,N/A,N/A,N/A
All Day and a Night,6.0,"3,866",53%
All That Matters Is Past,5.9,763,N/A
All the Money in the World,6.8,"85,618",79%
Along Came a Spider,6.4,"87,152",32%
Amanda Knox,6.9,"24,829",83%
Amandla,5.6,402,N/A
Ambulancen,8.2,7,N/A
American Murder: The Family Next Door,7.2,"28,338",86%
Anaamika,5.4,277,N/A
Anatomy of Evil,N/A,7,N/A
Anja- Real Love Girl,N/A,N/A,N/A
Anon,6.1,"44,705",36%
Army of the Dead,5.7,"172,214",67%
Army of Thieves,6.4,"76,422",68%
Asura Guru,3.2,335,N/A
Ave Mater,N/A,N/A,N/A
Bad Day,4.3,272,N/A
Bad Faith,4.2,455,N/A
Bad Luck,7.4,"1,221",N/A
Badla,7.8,"28,206",63%
Bank Robbers: The Last Great Heist,7.1,949,100%
Beef Cattle,N/A,N/A,N/A
Before the Night,N/A,N/A,N/A
Behind Blue Skies,6.6,"3,738",N/A
Bhavesh Joshi Superhero,7.6,"9,177",42%
#AnneFrank - Parallel Stories,N/A,N/A,N/A
#Rucker50,5.2,123,N/A
10 Years with Bebe,N/A,N/A,N/A
100 Days with Tata,N/A,N/A,N/A
11M: Terror in Madrid,6.9,"1,940",N/A
13 Factors that Saved Apollo 13,7.3,176,N/A
137 Shots,6.4,952,N/A
1960,6.7,177,N/A
26 de abril - Play Again,N/A,N/A,N/A
27: Gone Too Soon,4.9,"1,201",N/A
3 Logical Exits,7.3,72,N/A
5 Seconds Of Summer: So Perfect,8.1,88,N/A
50 Liters Life,N/A,N/A,N/A
A 3 Minute Hug,6.5,243,N/A
A Blue Hole In The Sky,N/A,N/A,N/A
A Fine Line,7.0,54,N/A
A la diestra del Cielo,6.7,19,N/A
A la puta strasse. Not just a Barcelona,N/A,8,N/A
A Life of Speed: The Juan Manuel Fangio Story,7.0,"2,015",N/A
A Love Song for Latasha,6.8,"2,441",100%
A moment of Silence,5.0,18,N/A
A Place in the Cinema,N/A,N/A,N/A
A Secret Love,7.8,"4,491",100%
A Short History of the Moors,N/A,N/A,N/A
A Stone in Our Heart,N/A,10,N/A
A Tale of Two Kitchens,6.3,286,N/A
A Trip to Infinity,6.9,"1,303",N/A
A World Not Ours,7.8,403,100%
Acerbo Cup,N/A,20,N/A
Adult Under Construction,7.0,34,N/A
African Nostalgia,N/A,N/A,N/A
After Maria,4.9,411,N/A
After the Raid,4.6,124,N/A
Aldo Moro - The Statesman,N/A,N/A,N/A
Alganesh,N/A,26,N/A
Aliyah Dada,7.6,119,N/A
All In My Family,6.8,716,N/A
All My Loving,6.4,330,N/A
All This Mayhem,7.8,"3,463",100%
'76,4.9,"8,350",68%
'83,7.5,"37,125",N/A
#FriendButMarried,6.9,317,N/A
#FriendButMarried 2,6.9,317,N/A
100 Meters,7.5,"6,378",N/A
100 Millions Swimming,N/A,N/A,N/A
100% Halal,6.6,61,N/A
12 Gifts of Christmas,6.4,"4,227",N/A
18 Presents,6.9,"3,893",60%
18% Grey,5.7,197,N/A
1939,6.0,827,N/A
2 Weeks in Lagos,6.3,48,N/A
200 Meters,7.2,"1,390",93%
20th Century Girl,7.3,"1,183",100%
27 Steps of May,8.0,508,N/A
3000 Nights,7.0,747,N/A
365 Days,3.3,"89,708",0%
365 Days: This Day,2.6,"19,569",0%
37 Seconds,7.4,"2,802",88%
6 Balloons,5.9,"4,226",86%
6 Years,5.5,"12,701",69%
678,N/A,28,N/A
7 años,5.0,246,N/A
7:19,5.8,656,100%
A Beautiful Day in the Neighborhood,7.2,"80,234",N/A
A Beautiful Life,6.6,965,N/A
A Beautiful Sunset,N/A,N/A,N/A
A Call to Spy,6.6,"7,799",71%
A Civil Action,6.6,"29,540",62%
A Day Will Dawn,N/A,N/A,N/A
A Decent Man,6.5,546,N/A
A Drowning Man,6.6,219,N/A
A Family,5.4,207,N/A
A Faraway Land,5.1,140,N/A
A Fortunate Man,7.2,"6,374",86%
A Jazzman's Blues,6.7,"2,671",68%
A Little Chaos,6.5,"23,556",49%
A Love Story,7.3,"6,867",N/A
A Man There Was,N/A,N/A,N/A
A Place Called Home,6.4,344,N/A
A Second Chance,6.8,"6,393",52%
A Serious Game,6.4,"1,299",N/A
A song for you,5.4,39,N/A
A Star Shoots Across the Sky,N/A,N/A,N/A
A Way Back Home,5.8,306,N/A
A.K.A Nadia,6.2,111,N/A
About Love and Passion,N/A,N/A,N/A
Adam,7.2,"34,792",66%
African America,5.5,69,N/A
Aftermath,5.7,"25,047",41%
Agnes and His Brothers,6.6,"1,758",40%
Aika jonka sain,5.6,276,N/A
Alcatraz,6.9,"39,644",N/A
Alexandria: Again and Forever,6.5,691,100%
Ali & Alia,5.1,36,N/A
All Eyez on Me,5.8,"23,427",18%
All Quiet on the Western Front,8.1,"61,923",98%
All The Bright Places,6.5,"31,944",65%
All Together Now,6.5,"4,519",69%
Alone/Together,6.6,478,N/A
Along for the Ride,6.1,"6,497",57%
Alter Ego,4.1,"1,387",N/A
Amalia in the Fall,N/A,N/A,N/A
Amar,5.1,"4,638",N/A
Amateur,6.8,"6,423",79%
American Son,5.8,"7,121",46%
Amsterdam to Anatolia,N/A,63,N/A
An Egyptian Story,7.3,"1,151",100%
Anchor Baby,6.3,91,N/A
8 Remains,3.4,365,N/A
A Classic Horror Story,5.7,"18,239",55%
Bangistan,4.5,"1,310",33%
Cargo,6.3,"43,938",60%
Chamatkar,6.5,"6,335",N/A
Constantine,7.0,"346,116",46%
Corpse Bride,7.3,"272,278",84%
Cosmos Laundromat: First Cycle,N/A,N/A,N/A
Cycle,N/A,711,N/A
Day of Destiny,5.2,46,N/A
Der Bärenhäuter,6.3,64,N/A
Dynasty Warriors,4.7,"2,209",27%
Errementari: The Blacksmith and the Devil,N/A,N/A,N/A
Fistful of Vengeance,4.4,"6,633",42%
FullMetal Alchemist,8.5,"70,667",N/A
Fullmetal Alchemist The Final Alchemy,N/A,N/A,N/A
Fullmetal Alchemist The Revenge of Scar,5.3,"1,531",N/A
Hawaizaada,5.5,"1,984",0%
How to Be Really Bad,6.2,"1,204",N/A
I Kill Giants,6.1,"32,593",77%
"I, Frankenstein",5.1,"81,463",5%
I'm Endless Like the Space,N/A,N/A,N/A
Imagine That,5.6,"14,978",41%
Immortals,6.0,"168,928",49%
In Paradox,5.2,155,N/A
In the Name of the King: A Dungeon Siege Tale,3.8,"49,281",4%
Inkheart,6.1,"78,245",38%
Anaconda - Silent Killer,6.6,31,N/A
Anatomy,6.0,"13,514",58%
Anatomy 2,5.0,"3,788",29%
Autumn Gold,N/A,N/A,N/A
Axolotl Overkill,5.2,821,67%
Ballermann 6,5.0,"3,265",N/A
Bama and the Lost Gorillas,N/A,N/A,N/A
Baumbacher Syndrome,6.2,619,N/A
Before the Fall,7.4,"16,167",67%
Behind the Players,N/A,N/A,N/A
Berlin und Brandenburg von oben,N/A,N/A,N/A
"Berlin, Berlin: Lolle on the Run",N/A,N/A,N/A
Beyond Men and Masculinity,N/A,N/A,N/A
Big Bang in Tunguska,N/A,N/A,N/A
Big Girls Don't Cry,6.3,"1,950",N/A
Biking Borders,7.7,982,N/A
Black Island,5.2,"2,891",N/A
Blood Red Sky,6.1,"48,766",80%
Blud Bruvas,N/A,N/A,N/A
Bonnie & Bonnie,5.9,353,N/A
Borga,6.1,188,N/A
Brecht,6.2,353,N/A
British Rock,7.8,19,N/A
Buba,5.8,"1,929",N/A
Campus Galli: Das Mittelalterexperiment,N/A,N/A,N/A
Cheeky Girls 2,N/A,N/A,N/A
Cheetah Mom,N/A,N/A,N/A
Chodorkowskis neue Freiheit,N/A,N/A,N/A
